,Température [°C],Température [°C],Vent [km/h],Vent [km/h],Ensoleillement4 [h],Precipitations totale5 [mm],Pression [Hpa],Pression [Hpa]
,Min1,Max.2,Moy.3,Max.,Ensoleillement4 [h],Precipitations totale5 [mm],Min,Max.
0,7.5,14.9,0,9.3,7 h 36 min,0.4,1025.7,1030.4
