iter	Passed	Remaining
406	6423	6202
407	6439	6187
408	6455	6171
409	6470	6154
410	6485	6138
411	6501	6123
412	6517	6107
413	6533	6091
414	6548	6075
415	6564	6059
416	6580	6043
417	6596	6028
418	6613	6013
419	6628	5997
420	6648	5984
421	6670	5975
422	6686	5959
423	6704	5945
424	6723	5932
425	6742	5919
426	6757	5902
427	6772	5886
428	6789	5871
429	6808	5858
430	6823	5842
431	6840	5827
432	6855	5810
433	6870	5794
434	6886	5778
435	6902	5762
436	6918	5746
437	6934	5731
438	6950	5715
439	6966	5699
440	6981	5683
441	6997	5667
442	7014	5652
443	7031	5637
444	7046	5621
445	7062	5605
446	7078	5589
447	7093	5573
448	7112	5559
449	7131	5546
450	7148	5531
451	7165	5516
452	7183	5502
453	7199	5487
454	7215	5471
455	7230	5454
456	7246	5439
457	7262	5423
458	7278	5407
459	7294	5391
460	7311	5376
461	7329	5361
462	7344	5346
463	7361	5331
464	7378	5315
465	7395	5300
466	7411	5284
467	7427	5268
468	7442	5252
469	7457	5235
470	7473	5220
471	7487	5203
472	7503	5187
473	7518	5170
474	7533	5154
475	7549	5138
476	7565	5123
477	7581	5107
478	7598	5091
479	7614	5076
480	7628	5059
481	7645	5044
482	7661	5028
483	7676	5012
484	7692	4995
485	7707	4979
486	7722	4963
487	7737	4946
488	7752	4930
489	7766	4913
490	7781	4896
491	7796	4880
492	7810	4863
493	7825	4847
494	7840	4831
495	7855	4814
496	7870	4798
497	7885	4781
498	7901	4766
499	7915	4749
500	7930	4733
501	7945	4716
502	7959	4699
503	7974	4683
504	7989	4667
505	8004	4650
506	8020	4634
507	8035	4618
508	8050	4602
509	8066	4586
510	8081	4570
511	8096	4554
512	8113	4539
513	8128	4522
514	8145	4507
515	8162	4492
516	8180	4477
517	8197	4462
518	8213	4447
519	8229	4431
520	8244	4415
521	8261	4399
522	8277	4384
523	8295	4369
524	8310	4353
525	8326	4337
526	8341	4321
527	8356	4304
528	8371	4288
529	8385	4271
530	8400	4255
531	8415	4239
532	8431	4223
533	8445	4206
534	8461	4191
535	8477	4175
536	8491	4159
537	8508	4143
538	8525	4128
539	8541	4112
540	8556	4096
541	8571	4080
542	8586	4063
543	8601	4047
544	8615	4031
545	8630	4015
546	8645	3998
547	8661	3983
548	8677	3967
549	8691	3950
550	8706	3934
551	8721	3918
552	8737	3902
553	8753	3886
554	8767	3870
555	8782	3854
556	8797	3838
557	8810	3821
558	8826	3805
559	8842	3789
560	8857	3773
561	8873	3757
562	8888	3741
563	8904	3725
564	8918	3709
565	8935	3694
566	8950	3678
567	8965	3662
568	8982	3646
569	8997	3630
570	9013	3614
571	9028	3598
572	9042	3582
573	9057	3566
574	9073	3550
575	9088	3534
576	9104	3518
577	9119	3502
578	9135	3487
579	9151	3471
580	9169	3456
581	9185	3440
582	9201	3424
583	9217	3409
584	9233	3393
585	9249	3377
586	9264	3361
587	9279	3345
588	9293	3329
589	9308	3313
590	9324	3297
591	9340	3281
592	9354	3265
593	9370	3249
594	9384	3233
595	9401	3217
596	9416	3201
597	9432	3186
598	9446	3169
599	9462	3154
600	9477	3138
601	9492	3122
602	9507	3106
603	9521	3089
604	9536	3073
605	9550	3057
606	9565	3041
607	9581	3025
608	9597	3010
609	9613	2994
610	9629	2978
611	9644	2962
612	9660	2946
613	9675	2931
614	9690	2914
615	9704	2898
616	9718	2882
617	9734	2866
618	9750	2851
619	9767	2835
620	9783	2819
621	9799	2804
622	9815	2788
623	9832	2773
624	9847	2757
625	9863	2741
626	9878	2725
