iter	RMSE
163	0.4710090232
164	0.4703278558
165	0.4696476703
166	0.4691210711
167	0.4686214306
168	0.4681116998
169	0.4672164454
170	0.4667592128
171	0.4661590726
172	0.4655060587
173	0.4649392592
174	0.464151428
175	0.4636806322
176	0.4632278634
177	0.4627933225
178	0.4622403156
179	0.4615481948
180	0.4609041711
181	0.4602113936
182	0.4597291134
183	0.4592263296
184	0.4587375871
185	0.4582274172
186	0.4577830393
187	0.4571419051
188	0.4564142854
189	0.4556343699
190	0.4551174939
191	0.454443155
192	0.453941478
193	0.453493619
194	0.4531070611
195	0.4526423385
196	0.4521588256
197	0.4516523288
198	0.4511963214
199	0.4507147425
200	0.4501371971
201	0.4495481284
202	0.4490624827
203	0.448698579
204	0.4482735767
205	0.4476426826
206	0.447215661
207	0.4468567835
208	0.4464281542
209	0.446059576
210	0.4455292467
211	0.4449885651
212	0.4444135119
213	0.4439875481
214	0.4436510684
215	0.443207777
216	0.4428334211
217	0.4424344838
218	0.4420309385
219	0.4415126973
220	0.4412128977
221	0.4406591377
222	0.4403510517
223	0.4399419355
224	0.4394722183
225	0.4390796809
226	0.4386994501
227	0.4383371409
228	0.4379401579
229	0.4375338324
230	0.4371439021
231	0.4365389138
232	0.4360698055
233	0.4357156547
234	0.4352193777
235	0.4348450144
236	0.4344377326
237	0.4340753751
238	0.4337808822
239	0.4334421232
240	0.433038178
241	0.4326903148
242	0.4321513786
243	0.4317757511
244	0.431325074
245	0.4309412819
246	0.4306247457
247	0.4302494274
248	0.4298909411
249	0.4295934765
250	0.4292919516
251	0.4289653488
252	0.4285628962
253	0.4281915315
254	0.427878645
255	0.4275330134
256	0.4270689041
257	0.4265930418
258	0.4262912993
259	0.4259758715
260	0.425603604
261	0.425346535
262	0.4250323737
263	0.4245410998
264	0.4242353986
265	0.4239540354
266	0.4236059677
267	0.4232892751
268	0.4229437716
269	0.4225674978
270	0.4222272466
271	0.4219789853
272	0.4215909331
273	0.4212165083
274	0.4208384275
275	0.4205096757
276	0.4202228248
277	0.4199748203
278	0.4196816921
279	0.4192743152
280	0.4190075698
281	0.418784308
282	0.418507931
283	0.4181686593
284	0.4178997822
285	0.4176470586
286	0.4173543003
287	0.4170429001
288	0.4166981387
289	0.4164402343
290	0.4161610563
291	0.4159258707
292	0.4157008493
293	0.4154163729
294	0.415200501
295	0.414893601
296	0.414667022
297	0.4144033844
298	0.4141142091
299	0.4138729084
300	0.4135542938
301	0.4131967746
302	0.4129110196
303	0.4126836752
304	0.4124227912
305	0.4121962098
306	0.4119280184
307	0.4116845779
308	0.4112954741
309	0.4109883424
310	0.410598989
311	0.4103193271
312	0.4099594444
313	0.409687578
314	0.4095024857
315	0.4092842869
316	0.4090029745
317	0.4087772523
318	0.4085555795
319	0.4081283988
320	0.4078120598
321	0.4075038564
322	0.407320978
323	0.4071047894
324	0.4068717194
325	0.4065050159
326	0.4063126398
327	0.4060809078
328	0.4058555887
329	0.4055779348
330	0.4053337832
331	0.4050857091
332	0.4047808569
333	0.4044901061
334	0.4042246666
335	0.403968817
336	0.4036821191
337	0.4034871815
338	0.4032587153
339	0.4030018716
340	0.4028124621
341	0.402496166
342	0.4022606078
343	0.4020320698
344	0.4018005987
345	0.4016067308
346	0.4013334847
347	0.4011378099
348	0.4009390612
349	0.4007170687
350	0.4005186225
351	0.4003272248
352	0.4000881528
353	0.3998991737
354	0.3997122957
355	0.3995129858
356	0.3992975437
357	0.3990988913
358	0.398948133
359	0.3987193058
360	0.3984824353
361	0.3982836336
362	0.3981691344
363	0.3979713196
364	0.3977968162
365	0.3976240122
366	0.3973726722
367	0.3972115645
368	0.3969753582
369	0.3967251373
370	0.396538041
371	0.3963100631
372	0.3960482083
373	0.3958077479
374	0.3956791266
375	0.3954262899
376	0.3952626781
377	0.3950765425
378	0.3948913377
379	0.3946919253
380	0.3945189513
381	0.3942933128
382	0.3941038873
383	0.3938744507
384	0.393687688
385	0.3935035305
386	0.3933336747
387	0.393160448
388	0.3929613852
389	0.3927900749
390	0.3926472287
391	0.3924499758
392	0.3922803749
393	0.3921076508
394	0.3919556159
395	0.3918272118
396	0.3916789574
397	0.3914526639
398	0.39129389
399	0.3911059377
400	0.3908706247
401	0.3907168735
402	0.3905324278
403	0.3903703816
404	0.3901919699
405	0.3899501717
406	0.389801301
407	0.3896479218
408	0.3895044153
409	0.389341491
410	0.3891869252
411	0.389004582
412	0.3888450005
413	0.3886754207
414	0.3885410327
415	0.388392665
416	0.3881977898
417	0.3880159758
418	0.3878821059
419	0.3876803193
420	0.3875149068
421	0.3873255694
422	0.387212043
423	0.3870801794
424	0.3869066139
425	0.3867410518
426	0.3866023299
427	0.3864590307
428	0.3862814717
429	0.3861380855
430	0.3860503045
431	0.385995492
432	0.385832414
433	0.3856304027
434	0.3854654518
435	0.3852973701
436	0.3851610287
437	0.3850154769
438	0.3848691851
439	0.3847360612
440	0.3845616851
441	0.3844425874
442	0.3842959469
443	0.3841595853
444	0.3839664847
445	0.3838190771
446	0.3837093485
447	0.3835644471
448	0.3834375338
449	0.383292788
450	0.3831688528
451	0.3830432457
452	0.3827996537
453	0.3826580686
454	0.3825116305
455	0.3823925984
456	0.3822190102
457	0.3820502224
458	0.3819178002
459	0.3818047052
460	0.381617562
461	0.3814980441
462	0.3813735104
463	0.3812339397
464	0.3810928291
465	0.3809002308
466	0.3807484792
467	0.3806056961
468	0.3804503076
469	0.3803107439
470	0.3802039807
471	0.380083612
472	0.3799663979
473	0.3798362324
474	0.3796749571
475	0.3795517938
476	0.3794275925
477	0.3792121343
478	0.3790622227
479	0.3789260242
480	0.3788365508
481	0.3786709337
482	0.3785551399
483	0.3784438168
484	0.3782981616
485	0.3781599827
486	0.378009414
487	0.3778442021
488	0.3777341072
489	0.3776311969
490	0.3774749594
491	0.3773405142
492	0.3771879664
493	0.3770640066
494	0.3769194165
495	0.3767632319
496	0.3766463977
497	0.3764352488
498	0.3763574945
499	0.3762396663
500	0.3760710222
501	0.3759405392
502	0.3758567591
503	0.3757117038
504	0.3755705497
505	0.3754311023
506	0.3753387272
507	0.3752259685
508	0.3750857377
509	0.3749864388
510	0.3748242403
511	0.3747091374
512	0.3746022752
513	0.3745083485
514	0.3744037463
515	0.3743002403
516	0.3741667545
517	0.3740741994
518	0.3739761067
519	0.3738669873
520	0.3737645184
521	0.3736258114
522	0.3734882481
523	0.3733787508
524	0.3732457262
525	0.3730879022
526	0.3728993525
527	0.3727888471
528	0.3726832517
529	0.3725510764
530	0.3724678214
531	0.3723681265
532	0.3722794811
533	0.3721957723
534	0.3720838618
535	0.3719780598
536	0.3718657087
537	0.3717574895
538	0.3716432721
539	0.3715329204
540	0.3714014569
541	0.3712988063
542	0.3711686
543	0.3710618836
544	0.3709489224
545	0.3708033776
546	0.3707106243
547	0.3706089237
548	0.3704697019
549	0.3703717248
550	0.3702726761
551	0.3701476901
552	0.3700577784
553	0.3699278807
554	0.3698014289
555	0.3697012148
556	0.3695201762
557	0.3694102515
558	0.3692960838
559	0.3692103071
560	0.369096415
561	0.3689917639
562	0.3688412795
563	0.3687377042
564	0.3686454508
565	0.3685149732
566	0.3683997837
567	0.368241513
568	0.3681558864
569	0.3680622508
570	0.3679586664
571	0.3678661543
572	0.3678265219
573	0.3677416164
574	0.3675983182
575	0.3675053908
576	0.3674254548
577	0.3673311914
578	0.3672413537
579	0.3671546141
580	0.3670539595
581	0.36696888
582	0.3668737064
583	0.3667539452
584	0.3666567015
585	0.3665435321
586	0.3664314246
587	0.3663270072
588	0.3661998558
589	0.366090262
590	0.3659891578
591	0.3658767638
592	0.365778245
593	0.3656529189
594	0.3655558937
595	0.365419255
596	0.3652773088
597	0.3652539198
598	0.3651742735
599	0.3650931974
600	0.3649807621
601	0.3648937221
602	0.3647987923
603	0.3646912928
604	0.3645826116
605	0.3644770183
606	0.3643589887
607	0.3642784846
608	0.3641653787
609	0.3640637422
610	0.3639535386
611	0.3638799568
612	0.363805961
613	0.3636541875
614	0.3635358651
615	0.363476759
616	0.3633825882
617	0.36327615
618	0.3631776042
619	0.3630459727
620	0.3629652226
621	0.3628844433
622	0.3627485838
623	0.3626438322
624	0.3625754987
625	0.3624653479
626	0.3623419209
627	0.3622639545
628	0.3621824844
629	0.3620734944
630	0.3619778622
631	0.3618500746
632	0.3617695727
633	0.3617021881
634	0.361617139
635	0.3615521432
636	0.3614740857
637	0.3613807324
638	0.3612804443
639	0.3611975278
640	0.3611259377
641	0.36099082
642	0.3608904831
643	0.3608242599
644	0.3607339177
645	0.3606584412
646	0.3605755426
647	0.3604960291
648	0.3604114925
649	0.3603310515
650	0.360227464
651	0.3601229626
652	0.3600255986
653	0.3599447077
654	0.3598673351
655	0.359801675
656	0.3596571513
657	0.3595865217
658	0.3595063379
659	0.3594263954
660	0.3593318671
661	0.3592599526
662	0.3591619685
663	0.3590907418
664	0.3590050562
665	0.3589482254
666	0.3588576993
667	0.358784073
668	0.3587081255
669	0.3586248567
670	0.3585468795
671	0.3584449816
672	0.3583622735
673	0.3583056777
674	0.358186059
675	0.3581245967
676	0.3580167036
677	0.35795772
678	0.3578643954
679	0.3577926723
680	0.3577263736
681	0.3576185588
682	0.3575395136
683	0.3574525045
684	0.3573804354
685	0.3572877609
686	0.3572098351
687	0.3571190792
688	0.3570538737
689	0.356978945
690	0.3569083886
691	0.3568403905
692	0.3567531593
693	0.3566715655
694	0.3566016974
695	0.3565319681
696	0.3564570888
697	0.3563559149
698	0.3562671451
699	0.3561603019
